14,Shaker Lemon Pie,qLPODSdIZkBysqvCQiTexpSRMNtzkuOEZjB,2677.3,DqxwrLktQVjbpN,16
28,Bean pie,TTUdOGVUnQyIPBVhnNFhehodKcPjkloagWq,4494.5,uOJOVGVvJsPO,30
88,Ice cream cake,"NBqehUjjHuugGvGxOgcaazhsGaD ",9270.15,uPUNkWKoD hoy,26
10,Breakfast sausage,UnMa ETKBJOOpXaSBaJeWVnzSSGZjzm,4665.55,yMlaFVNoMFgDdL,11
78,Cinnamon rolls,fYBgNYSSSQQyJ zqyLMzmwNz UjInPawiQ,8138.14,JUchBCroiFLoEaS,22
6,Dirt cake,"AEkzEQpEBOFCZzJOSouRlATdnHhYnM ",1611.13,jQVYcEoHcyr,14
60,Meyer lemon cake,qISNBxGQQXWhngIOPHJbEvPfZOgo cQQkgvskReg,4261.83,fumwGyRuRF,22
85,Cube toast 2,AGSjGLcArufCBaCwn OMojUIAg,2372.57,RkxKRhLEmBIQrkf,0
30,Cupcone,cOXcJrhtXbHUcPTkhLfyzinlGyuFsvONaQi,3608.58,gHEvBWHgcyBL,24
5,Stack cake,fKODogOBioRnjpxiiJeeBxvRhLsNyFZmsn,7020.88,wVyUBtigOOc,4
85,Hasty pudding,xJSGAXOhPYiYoQnHNzSbLeOPdMEgD,7552.9,hSNAYVOlXWvr i,11
67,Hostess CupCake,wgPgvjfTRIGlaZvhOreZANLNkZA SN BeD,8104.31,oeYTIddmPCRLXP,7
8,Golden Opulence Sundae,wlUfDmBcudiTucmhiaHApaQhmZ,5438.58,DfpqiKyfLwSpOG,23
87,Chocolate-covered bacon,UCoPcQUbTmOyDqdQkaRwwhiSdIVXKrHomQBj,8683.57,lvuTYPcMPzzWx,0
3,Candy,itWCWUFQoKxVfTOwBLrxFhgEjRGc,546.17,ZtbgdfUqvxsv,18
19,Parfait,JJkBVyHRMSYjjcYpxagrojdOhmbeU,9421.7,dzdksiYvRid,7
32,Shaker Lemon Pie,YTMUfbnnsyZqbuQAzhUXfXC UmERNCf,2583.53,wBRegYgOXuehH,21
35,Ice cream cake,OjgJHSyyuPADUcZElncWgQgtXbAmkowdbeVK,812.43,pGvLFiG  O,15
36,Glorified rice,YpRIBKLGbLowvpwfcvPdTKNcA,7634.49,aAqDjQJxQIR,7
39,Checkerboard cake,GiKFOlhgfQG lkjkWafvua,6222.1,CzhXsiJdsWoJr,21
4,Maxwell Street Polish,qwkalKeZkDyteRJWrnSGqnon A,6460.53,IyEcizscqyOit t,5
8,Chocolate-covered potato chips,blXFPcrispHDUxqZSUtIjwN,1858.59,JevJSTWTDuIUr,15
2,Sweet potato pie,kXxGQSLK ccwWZxGovPdoTUiTGi,3531.31,Uvz TBiPrN,9
4,Snickerdoodles,"uKmWFkDbIdzMYFdUNVPjONNqkgjZchgBFM ",6478.14,"BiKvM GZrqmv  ",2
46,Snickerdoodles,iIjJzDWttJoglckEKCeUjZGwSznZDmXe,7732.19,jDfXqNi Rj enlq,20
38,Snickers salad,rmSzRgakIAOqNmAXF toiuBm,3790.27,"YCWKDZhxIG ",6
69,Pumpkin pie,OIgS TNVfLiVcWLdWGxkOupgFgKZPtfgXScIk,8095.65,uYoyxGPtmsmQd,9
59,Apple crisp,mrpMJqpMZbyIUovhIbsnaPs,2699.04,SRHdeagfNQmaK,16
48, Meat Pie,yWvOVJMetLTQLsgwftoimSHrrAS XT,8825.13,vwhPbrPiFZJbVV,4
69,Lemon meringue pie,FzLoQrpAqDsxJjBLuJaPCmMD,3039.8,bVuJhreHgSArGAe,23
42,Jelly cream pie,zMOlcxerhklQM bPCzOAqEZNaMzRQQwgGAuHLQgy,3616.52,FwL qcalEFQSJFz,5
87,Hummingbird cake,sotnolsmhbGcjdbhsADqTVHhXzGcWvAQTEbw,2490.75,InQdXmKMLqHWzC,27
46,Bean pie,jPKJdbtcdLJCzTWgYJeMtNWOzQNwfy,2619.77,fJcIUHkiCbkETAh,4
22,Cookie salad,hHKpVFLMzpXbMDsXkAZwjEWfPzxixyFcq,6184.51,aAkYPvmscsj,3
53,Brownie,SnZboEyJcWChvLaXwQuaUeEBCXrvLzg,3615.96,KTZKNNcwnTD,2
43,Fried pie,NrXLyEbjGaUuHkfOiEakJWtAw,884.64,CDTqXklPFeN,3
8,Pop-TartsCalas,tlYhvBDZiuAmVOUXXUsNyCNQOIMCHhG,2354.12,DSfBdXizSfjFM,12
8,Grasshopper pie,BqD bNLQPpaRpRxwFSCrQhrZgWFuCJBFjTBpxjA,2341.18,rqtTgzICKcUi,14
61,Half-smoke,THQPZIYqffAfqDBHWObmdbaPjEZMU,5015.81,fzlJZgMkl fAY,26
33,Hummingbird cake,HIYnOsm thTqbaoayBtLYFwPZpRzGYRsTd,6020.87,pNNPmFqNdXq,26
83,Fried pie,wyYGf sSvdZBKzLK OI mwhq,3807.99,oNsvaKsUIX,18
43,Banana Foster,YswJjzbqptcwVIDrTCUk,5941.9,DSFPhhAXTaFRur,15
87,Apple pie," BBpkMv IqjgBExTIThhwVguZMbEGxzuz",6169.36,MeYHphYDuI,28
6,Chocolate chip cookie,bMgMlGOjqghuU BCMbvWtOPSSijPOvQ,4959.57,HISyofiPIqY,3
71,Lemon squares,eEisAQyjaHVzqXIukKJyU MbIVfT,1977.31," aX wduVQgXakyX",14
80,Cobbler,fQMJUHjouuRQCoxxiTIgpTKnjcieRToeLtvYlaft,1326.28,ldxtIBctiEnwU,9
34,Jelly cream pie,PeKIUdu iqfUFvSvjPPksCkkhrwXlytgYSrC,6484.65,uIuEcKfe VCOnIu,9
25,Buttermilk pie,aOXBWcEQiDelDhVlXgYQ,7573.88,VJgltTRGWyyR,24
60,Sopaipilla,sFqrntaamhJjGZpNTcMsRrsiqwyiSDGQoJBLed,5569.44,PrHgjmTBJWUv,21
38,Lemon squares,PERsWUDEXQrbEdlxSoqyPnr,8139.68,hTOmQb NNmqxTk,1
46,Bean pie,MpmwtuGqXkYrtVqwzyLyiMkk,9108.74,rHPlbrFtBPFmcX,14
39,Buttermilk pie,FeWsPmHvpdlMTRPTngsbSkrYahR,4542.82,"ZvdCwCKmCBaW ",7
37,Grasshopper pie,MwCTHNQiiDoKNWueKdIOjeu,8805.27,aLmkUJbVWJctdeo,26
11,Jell-O,hXORbBeZMzsrInhrxpqtmQpgtCBPkTkV,890.47,amAzBsyHsyheCLa,18
49,Strawberry Delight,dnnSJIRkYVXEJmkQpXWknGk,5065.46,QrRBPTYvVFKq,0
25,Pop-TartsCalas,kvJxp diiYNcIASXRFROlYpndn,4009.93,PtAulEDDrVfRW,21
50,Grasshopper pie,VEkDeCt YlEjjUYEcDSelD,1781.25,lzKzzywxJxhXFt,17
33,Smith Island cake,NsMgbXOgSeXdyjiUyfOpXsVPmU,9716.41,q wOvDGUjg,23
64,Breakfast sausage,uDBnLcdLxjlIQoVJVoqYZNGMqHU,918.49,U axJEvEDdJ,1
45,Ice cream cake,VPVBMgHrXl SdtkJtZpJgniMhJTevEWqMu,854.93,cqRYobYWDwL,30
43,Pop-TartsCalas,gfArHwRKrsjZHmJZbQiBxUMKvVpLUmNhPFFX,4586.93,NjrcpsNC Kvd,21
85,Bundt cake,BZFuWQzNRkIMkoukDVBbFVoULyslGV MI,7414.76,JvgurIMtVFmhF,10
